n,heapsort.ticks
150000,300000
180000,360000
210000,420000
240000,480000
270000,540000
300000,600000
330000,660000
360000,720000
390000,780000
420000,840000
450000,900000
480000,960000
510000,1020000
540000,1080000
570000,1140000
600000,1200000
630000,1260000
660000,1320000
690000,1380000
720000,1440000
750000,1500000
780000,1560000
810000,1620000
840000,1680000
870000,1740000
900000,1800000
930000,1860000
960000,1920000
990000,1980000
1020000,2040000
1050000,2100000
1080000,2160000
1110000,2220000
1140000,2280000
1170000,2340000
1200000,2400000
1230000,2460000
1260000,2520000
1290000,2580000
1320000,2640000
1350000,2700000
1380000,2760000
1410000,2820000
1440000,2880000
1470000,2940000
