n,heapsort.time
150000,217
180000,283
210000,373
240000,488
270000,593
300000,582
330000,676
360000,772
390000,853
420000,1032
450000,1106
480000,1203
510000,1308
540000,1397
570000,1582
600000,1627
630000,1688
660000,1915
690000,2200
720000,2176
750000,2137
780000,3410
810000,3011
840000,3270
870000,2757
900000,3223
930000,2912
960000,3547
990000,3605
1020000,3668
1050000,3589
1080000,3676
1110000,3590
1140000,4169
1170000,4329
1200000,4232
1230000,4250
1260000,4657
1290000,4972
1320000,3732
1350000,3698
1380000,4195
1410000,4625
1440000,5194
1470000,5092
